arm,seed,budget,k,n,n_flat,flat_fraction,island_ground_state,dZ_glob,flat_min_rel_eV_per_atom,gap_eV_per_atom,E_glob,E_flat,E_island
200 iterations,seed_3,200,100,182,32,0.1758,1,3.6985,0.20579,0.20579,-435.3149,-419.8808,-435.3149
200 iterations,seed_3,200,200,282,32,0.1135,1,3.6985,0.20579,0.20579,-435.3149,-419.8808,-435.3149
200 iterations,seed_4,200,100,182,24,0.1319,1,4.3952,0.18124,0.18124,-435.2791,-421.6863,-435.2791
200 iterations,seed_4,200,200,282,24,0.0851,1,4.3075,0.18301,0.18301,-435.4121,-421.6863,-435.4121
200 iterations,seed_5,200,100,182,37,0.2033,1,3.6470,0.14190,0.14190,-433.2599,-422.6176,-433.2599
200 iterations,seed_5,200,200,282,37,0.1312,1,4.3252,0.16873,0.16873,-435.2724,-422.6176,-435.2724
200 iterations,seed_6,200,100,182,30,0.1648,1,2.9696,0.20342,0.20342,-435.2506,-419.9940,-435.2506
200 iterations,seed_6,200,200,282,30,0.1064,1,2.9959,0.21378,0.21378,-436.0279,-419.9940,-436.0279
200 iterations,seed_7,200,100,182,29,0.1593,1,3.6521,0.19014,0.19014,-436.9093,-422.6490,-436.9093
200 iterations,seed_7,200,200,282,29,0.1028,1,3.6521,0.19014,0.19014,-436.9093,-422.6490,-436.9093
200 iterations,seed_8,200,100,182,27,0.1484,1,4.0945,0.17721,0.17721,-434.1366,-420.8459,-434.1366
200 iterations,seed_8,200,200,282,27,0.0957,1,4.2331,0.19631,0.19631,-435.5688,-420.8459,-435.5688
400 iterations,seed_3,400,100,182,31,0.1703,1,3.6985,0.22149,0.22149,-435.3149,-418.7032,-435.3149
400 iterations,seed_3,400,200,282,31,0.1099,1,2.8719,0.23897,0.23897,-436.6262,-418.7032,-436.6262
400 iterations,seed_3,400,400,482,31,0.0643,1,2.7543,0.24518,0.24518,-437.0918,-418.7032,-437.0918
400 iterations,seed_4,400,100,182,20,0.1099,1,3.9773,0.13407,0.13407,-431.7416,-421.6863,-431.7416
400 iterations,seed_4,400,200,282,20,0.0709,1,3.9773,0.13407,0.13407,-431.7416,-421.6863,-431.7416
400 iterations,seed_4,400,400,482,20,0.0415,1,3.9773,0.13407,0.13407,-431.7416,-421.6863,-431.7416
400 iterations,seed_5,400,100,182,37,0.2033,1,3.6470,0.11369,0.11369,-433.2599,-424.7328,-433.2599
400 iterations,seed_5,400,200,282,37,0.1312,1,3.6470,0.11369,0.11369,-433.2599,-424.7328,-433.2599
400 iterations,seed_5,400,400,482,37,0.0768,1,3.6470,0.11369,0.11369,-433.2599,-424.7328,-433.2599
400 iterations,seed_6,400,100,182,35,0.1923,1,2.5137,0.18623,0.18623,-435.8436,-421.8763,-435.8436
400 iterations,seed_6,400,200,282,35,0.1241,1,2.5552,0.19273,0.19273,-436.3311,-421.8763,-436.3311
400 iterations,seed_6,400,400,482,35,0.0726,1,2.7798,0.19485,0.19485,-436.4903,-421.8763,-436.4903
400 iterations,seed_7,400,100,272,46,0.1691,1,3.6521,0.19014,0.19014,-436.9093,-422.6490,-436.9093
400 iterations,seed_7,400,200,372,46,0.1237,1,3.6521,0.19014,0.19014,-436.9093,-422.6490,-436.9093
400 iterations,seed_7,400,400,572,46,0.0804,1,3.6521,0.19014,0.19014,-436.9093,-422.6490,-436.9093
400 iterations,seed_8,400,100,182,23,0.1264,1,4.3423,0.18909,0.18909,-434.6476,-420.4657,-434.6476
400 iterations,seed_8,400,200,282,23,0.0816,1,3.8546,0.20821,0.20821,-436.0812,-420.4657,-436.0812
400 iterations,seed_8,400,400,482,23,0.0477,1,3.7493,0.21050,0.21050,-436.2534,-420.4657,-436.2534
400 iterations,seed_9,400,100,182,21,0.1154,1,3.0382,0.22154,0.22154,-436.8380,-420.2222,-436.8380
400 iterations,seed_9,400,200,282,21,0.0745,1,2.8802,0.22465,0.22465,-437.0709,-420.2222,-437.0709
400 iterations,seed_9,400,400,482,21,0.0436,1,2.8825,0.22635,0.22635,-437.1982,-420.2222,-437.1982
600 iterations,seed_3,600,100,182,33,0.1813,1,2.7603,0.23148,0.23148,-436.0638,-418.7032,-436.0638
600 iterations,seed_3,600,200,282,33,0.1170,1,2.9531,0.24405,0.24405,-437.0067,-418.7032,-437.0067
600 iterations,seed_3,600,400,482,33,0.0685,1,2.7899,0.24737,0.24737,-437.2558,-418.7032,-437.2558
600 iterations,seed_3,600,600,682,33,0.0484,1,2.8524,0.24857,0.24857,-437.3459,-418.7032,-437.3459
600 iterations,seed_4,600,100,182,26,0.1429,1,4.1574,0.14755,0.14755,-433.5801,-422.5138,-433.5801
600 iterations,seed_4,600,200,282,26,0.0922,1,4.3818,0.16031,0.16031,-434.5370,-422.5138,-434.5370
600 iterations,seed_4,600,400,482,26,0.0539,1,4.0463,0.16452,0.16452,-434.8529,-422.5138,-434.8529
600 iterations,seed_4,600,600,682,26,0.0381,1,4.1039,0.16872,0.16872,-435.1677,-422.5138,-435.1677
600 iterations,seed_5,600,100,273,55,0.2015,1,4.3716,0.17262,0.17262,-433.9615,-421.0152,-433.9615
600 iterations,seed_5,600,200,464,55,0.1185,1,4.1542,0.19722,0.19722,-435.8064,-421.0152,-435.8064
600 iterations,seed_5,600,400,664,55,0.0828,1,4.1542,0.19722,0.19722,-435.8064,-421.0152,-435.8064
600 iterations,seed_5,600,600,864,55,0.0637,1,4.4110,0.19854,0.19854,-435.9056,-421.0152,-435.9056
600 iterations,seed_6,600,100,182,32,0.1758,1,2.9977,0.19914,0.19914,-434.9299,-419.9940,-434.9299
600 iterations,seed_6,600,200,282,32,0.1135,1,2.9977,0.19914,0.19914,-434.9299,-419.9940,-434.9299
600 iterations,seed_6,600,400,482,32,0.0664,1,3.6624,0.20825,0.20825,-435.6126,-419.9940,-435.6126
600 iterations,seed_6,600,600,682,32,0.0469,1,3.5883,0.20981,0.20981,-435.7301,-419.9940,-435.7301
