arm,factor,in_plane_A,n,n_flat,flat_fraction,island_ground_state,dZ_glob,island_dZ_median,flat_min_rel_eV_per_atom,gap_eV_per_atom
f = 0.25,0.25,14.47042,91,11,0.1209,1,2.8179,2.9023,0.16839,0.16839
f = 0.25,0.25,14.47042,91,13,0.1429,1,4.2425,2.6732,0.24253,0.24253
f = 0.25,0.25,14.47042,91,14,0.1538,1,4.0043,3.7750,0.20712,0.20712
f = 0.25,0.25,14.47042,91,22,0.2418,1,3.4894,2.8746,0.19318,0.19318
f = 0.25,0.25,14.47042,91,10,0.1099,1,4.4400,4.4507,0.18795,0.18795
f = 0.25,0.25,14.47042,90,13,0.1444,1,4.4199,3.9311,0.22035,0.22035
f = 0.25,0.25,14.47042,91,15,0.1648,1,3.0307,3.0133,0.23630,0.23630
f = 0.25,0.25,14.47042,91,10,0.1099,1,2.7362,2.8302,0.22572,0.22572
f = 0.25,0.25,14.47042,91,16,0.1758,1,2.7829,2.7323,0.14484,0.14484
f = 0.25,0.25,14.47042,91,13,0.1429,1,4.0852,4.0881,0.18421,0.18421
f = 0.75,0.75,14.75125,91,14,0.1538,1,3.7384,3.2273,0.19648,0.19648
f = 0.75,0.75,14.75125,91,12,0.1319,1,4.6018,4.1253,0.21572,0.21572
f = 0.75,0.75,14.75125,91,9,0.0989,1,2.7124,2.9338,0.18932,0.18932
f = 0.75,0.75,14.75125,91,14,0.1538,1,4.1126,3.1694,0.22836,0.22836
f = 0.75,0.75,14.75125,90,11,0.1222,1,3.3147,3.5471,0.21908,0.21908
f = 0.75,0.75,14.75125,91,14,0.1538,1,4.3419,3.8869,0.18928,0.18928
f = 0.75,0.75,14.75125,91,17,0.1868,1,4.8652,3.8249,0.21815,0.21815
f = 0.75,0.75,14.75125,91,14,0.1538,1,4.3020,4.0810,0.21633,0.21633
f = 0.75,0.75,14.75125,91,16,0.1758,1,4.6710,4.5656,0.21678,0.21678
f = 0.75,0.75,14.75125,91,19,0.2088,1,3.0237,2.9305,0.17739,0.17739
f = 1.00,1.0,14.89167,91,17,0.1868,1,4.3165,4.1994,0.17955,0.17955
f = 1.00,1.0,14.89167,91,10,0.1099,1,4.3975,3.7200,0.22921,0.22921
f = 1.00,1.0,14.89167,91,13,0.1429,1,3.3312,3.0518,0.20349,0.20349
f = 1.00,1.0,14.89167,91,8,0.0879,1,3.3502,2.7489,0.19920,0.19920
f = 1.00,1.0,14.89167,91,14,0.1538,1,2.7875,2.8028,0.23596,0.23596
f = 0.25 [pooled],0.25,14.47042,909,137,0.1507,1,3.4894,3.1207,0.19318,0.19318
f = 0.75 [pooled],0.75,14.75125,909,140,0.1540,1,4.6710,3.6795,0.19820,0.19820
f = 1.00 [pooled],1.0,14.89167,455,62,0.1363,1,4.3975,3.1991,0.19075,0.19075
main text (Fe-matched) [pooled],0.0,14.35000,1180,195,0.1653,1,3.6521,3.0236,0.18882,0.18882
