family,setting,variant,n_structures,n_seeds,per_seed_best_dE_at_mean,per_seed_best_dE_at_sd,flat_fraction,fingerprint_diversity
rattle,baseline (1.5/2.3),full,1180,13,0.03683,0.02575,0.165,2.218
rattle,baseline (1.5/2.3),asreported,1207,14,0.05030,0.05454,0.181,2.515
rattle,reduced-0.5 (1.0/1.8),full,175,2,0.26073,0.06804,0.023,3.737
rattle,reduced-0.5 (1.0/1.8),asreported,264,4,0.29017,0.05659,0.030,3.706
rattle,reduced-1.0 (0.5/1.3),full,360,4,0.25583,0.13287,0.017,4.334
rattle,reduced-1.0 (0.5/1.3),asreported,388,5,0.27399,0.12427,0.015,4.331
kappa,kappa=2 (baseline),full,1180,13,0.03683,0.02575,0.165,2.218
kappa,kappa=2 (baseline),asreported,1207,14,0.05030,0.05454,0.181,2.515
kappa,kappa=1,full,1456,16,0.03947,0.02371,0.182,2.362
kappa,kappa=1,asreported,1456,16,0.03947,0.02371,0.182,2.362
kappa,kappa=3,full,901,10,0.03509,0.02182,0.149,2.647
kappa,kappa=3,asreported,917,11,0.05497,0.06620,0.159,2.676
kappa,kappa=4,full,790,9,0.03209,0.01872,0.132,2.675
kappa,kappa=4,asreported,792,10,0.05633,0.07486,0.134,2.669
dipole,no dipole (baseline),full,1180,13,0.03683,0.02575,0.165,2.218
dipole,no dipole (baseline),asreported,1207,14,0.05030,0.05454,0.181,2.515
dipole,dipole xy,full,1001,11,0.03770,0.02436,0.158,2.674
dipole,dipole xy,asreported,1004,12,0.05628,0.06589,0.160,2.632
