system,seed,iteration,E_total,n_atoms,dE_per_atom,dZ,B_contact_frac
femgo,seed_10,10,-410.4354807903296,75,0.35298464848529876,0.07624424242949424,nan
femgo,seed_10,11,-416.595780351164,75,0.2708473210075067,0.024721627962533077,nan
femgo,seed_10,12,-415.6553295022229,75,0.2833866656600549,0.6938913090649539,nan
femgo,seed_10,13,-392.88762943248537,75,0.5869559999232221,2.2298152826313,nan
femgo,seed_10,14,-414.9612955952755,75,0.29264045108602055,0.9429064054587464,nan
femgo,seed_10,15,-417.4305148917931,75,0.2597175271324522,0.003569219593208217,nan
femgo,seed_10,16,-414.7238069242532,75,0.2958069666996509,0.0727241705658983,nan
femgo,seed_10,17,-411.6718759225139,75,0.33649938005617513,0.8401765492755455,nan
femgo,seed_10,18,-416.64776498872686,75,0.27015419250666883,0.02714647303869988,nan
femgo,seed_10,19,-417.70696572584336,75,0.2560315160117822,0.019772027092757938,nan
femgo,seed_10,20,-418.50935522363966,75,0.24533298937449824,0.9596193889002915,nan
femgo,seed_10,21,-412.6186433755907,75,0.3238758140151511,0.030616633544862992,nan
femgo,seed_10,22,-417.8363883701515,75,0.2543058807543404,0.19529708662304834,nan
femgo,seed_10,23,-417.8418506841739,75,0.25423304990070844,0.09168539595670211,nan
femgo,seed_10,24,-417.5473306468775,75,0.25815998373132665,1.526342293900349,nan
femgo,seed_10,25,-418.8240680196397,75,0.2411368187611644,1.9740492651750667,nan
femgo,seed_10,26,-421.1855810260531,75,0.20964997867565216,1.1207407708945496,nan
femgo,seed_10,27,-418.1228844384495,75,0.2504859331770338,0.8066578787529277,nan
femgo,seed_10,28,-418.52115682643677,75,0.24517563467053682,0.7169635944803474,nan
femgo,seed_10,29,-420.1571128508837,75,0.22336288767791074,0.8029597154832295,nan
femgo,seed_10,30,-420.78170247029584,75,0.21503502608574915,1.8667523282028657,nan
femgo,seed_10,31,-420.3257145228567,75,0.22111486538493788,0.9894394551257832,nan
femgo,seed_10,32,-420.5022373336112,75,0.21876122790821076,2.115498870000346,nan
femgo,seed_10,33,-420.51285623226516,75,0.21861964259282482,1.843182501521376,nan
femgo,seed_10,34,-422.76983903708043,75,0.18852653852862128,1.744608595512858,nan
femgo,seed_10,35,-419.2726847758842,75,0.2351552620112375,1.7393440874622677,nan
femgo,seed_10,36,-421.7074914940488,75,0.20269117243570994,1.46332350807206,nan
femgo,seed_10,37,-425.1063096483612,75,0.15737359704487744,2.417347867140606,nan
femgo,seed_10,38,-426.03830319287306,75,0.14494701645138625,2.465472848658166,nan
femgo,seed_10,39,-425.025256044438,75,0.15845431176385394,2.553830048295694,nan
femgo,seed_10,40,-423.35728150801646,75,0.18069397224947428,2.5083185180233603,nan
femgo,seed_10,41,-426.6189291138718,75,0.13720533750473654,2.141746732800412,nan
femgo,seed_10,42,-421.3701175980564,75,0.20718949104894135,1.0709238701957524,nan
femgo,seed_10,43,-427.64477656238734,75,0.12352737152452922,2.739391201751097,nan
femgo,seed_10,44,-427.1949399319109,75,0.12952519326421527,2.3881459923525004,nan
femgo,seed_10,45,-427.86833188560706,75,0.12054663388159952,2.6695684948723404,nan
femgo,seed_10,46,-426.37330594948304,75,0.1404803130299198,2.736030095322782,nan
femgo,seed_10,47,-427.2466899456472,75,0.12883519308106467,3.063492011820859,nan
femgo,seed_10,48,-425.0832286124091,75,0.15768134419090604,2.2978223438422525,nan
femgo,seed_10,49,-426.26911700310166,75,0.14186949898167162,3.0169203487701193,nan
femgo,seed_10,50,-427.42912941215565,75,0.12640266686095175,2.7148894024616013,nan
femgo,seed_10,51,-427.7471474958445,75,0.12216242574510033,2.3930032266684957,nan
femgo,seed_10,52,-428.5452915995119,75,0.11152050436286799,2.747702454992698,nan
femgo,seed_10,53,-428.9337168259918,75,0.10634150134313662,2.589155245333952,nan
femgo,seed_10,54,-426.82232755914276,75,0.13449335823445685,2.3448009754861516,nan
femgo,seed_10,55,-428.1483457366099,75,0.11681311586822858,2.9584778563165752,nan
femgo,seed_10,56,-429.23770829574454,75,0.10228828174643316,2.8531556587966893,nan
femgo,seed_10,57,-429.50837337401805,75,0.0986794140361197,2.7743888695441328,nan
femgo,seed_10,58,-428.07053799498794,75,0.11785055242318776,2.7438977345360396,nan
femgo,seed_10,59,-428.61124216618134,75,0.11064116347394247,2.7459634584931454,nan
femgo,seed_10,60,-426.28304083378947,75,0.14168384790583408,2.1755258648744054,nan
femgo,seed_10,61,-427.75970920506796,75,0.1219949362887875,2.8301049650097827,nan
femgo,seed_10,62,-425.6037360016729,75,0.15074124566738797,2.787652810964042,nan
femgo,seed_10,63,-427.4176466168747,75,0.12655577079803076,2.852235210525768,nan
femgo,seed_10,64,-428.94088478183704,75,0.10624592859853313,2.840120910580641,nan
femgo,seed_10,65,-428.9888296780392,75,0.10560666331583737,2.860123624665345,nan
femgo,seed_10,66,-427.0065466410057,75,0.1320371038096179,2.800143921454376,nan
femgo,seed_10,67,-429.1425049021907,75,0.1035576603271511,2.7807076254066185,nan
femgo,seed_10,68,-430.18231255037654,75,0.08969355835133987,2.777046886383113,nan
femgo,seed_10,69,-429.8620853922356,75,0.09396325379321903,2.76601621207724,nan
femgo,seed_10,70,-429.950361483346,75,0.09278623924508035,2.7425851410485222,nan
femgo,seed_10,71,-429.01132220536124,75,0.10530676295154384,2.9373014599744476,nan
femgo,seed_10,72,-429.30731243486264,75,0.10136022655819185,2.8553625112438468,nan
femgo,seed_10,73,-429.15495438854293,75,0.10339166717578792,2.7440432474970518,nan
femgo,seed_10,74,-430.1663310140786,75,0.0899066455019791,2.7869241794268103,nan
femgo,seed_10,75,-430.18030052498204,75,0.08972038535659976,2.828382060042756,nan
femgo,seed_10,76,-430.15504202533833,75,0.09005716535184925,2.826824318182828,nan
femgo,seed_10,77,-430.04937532140406,75,0.0914660547376396,2.806044531690759,nan
femgo,seed_10,78,-429.0773772599224,75,0.10442602889072836,2.749847894102956,nan
femgo,seed_10,79,-430.24502048136367,75,0.08885745260484479,2.720162582730735,nan
femgo,seed_10,80,-429.134839595914,75,0.10365986441084032,2.6691421947938405,nan
femgo,seed_10,81,-429.51699631437907,75,0.09856444149797274,2.8519509034729893,nan
femgo,seed_10,82,-430.02841117376374,75,0.09174557670617711,2.780266001234244,nan
femgo,seed_10,83,-429.50199764550246,75,0.09876442374966093,2.414672888622725,nan
femgo,seed_10,84,-430.06214569956086,75,0.09129578302888225,2.7489314698891505,nan
femgo,seed_10,85,-430.2767977569244,75,0.08843375559736842,2.717726313810532,nan
femgo,seed_10,86,-430.19715208708374,75,0.08949569786191053,2.73840746401895,nan
femgo,seed_10,87,-429.98501465031495,75,0.09232419701882767,2.819419691202837,nan
femgo,seed_10,88,-430.26394161753683,75,0.08860517078920263,2.737367165653591,nan
femgo,seed_10,89,-430.29598013280463,75,0.08817799058563196,2.850257879968641,nan
femgo,seed_10,90,-429.44837673978293,75,0.09947936915925462,2.7701988648538176,nan
femgo,seed_10,91,-430.32448675737226,75,0.08779790225806361,2.721099535107996,nan
femgo,seed_10,92,-429.1678447689082,75,0.1032197954375844,2.7669662357473523,nan
femgo,seed_10,93,-429.89125106535266,75,0.09357437815165819,2.7226260322051363,nan
femgo,seed_10,94,-430.26442562091836,75,0.08859871741078224,2.765271302205173,nan
femgo,seed_10,95,-430.0405323272539,75,0.09158396132630818,2.7090052656147403,nan
femgo,seed_10,96,-430.35282857112554,75,0.08742001140801979,2.7334862941321454,nan
femgo,seed_10,97,-430.3734228944884,75,0.08714542042984855,2.7226725613704055,nan
femgo,seed_10,98,-430.1221416290999,75,0.0904958373016954,2.739819654157907,nan
femgo,seed_10,99,-430.46581146502115,75,0.08591357282274506,2.7810466165027794,nan
femgo,seed_10,100,-429.23523616574306,75,0.10232124347978622,2.802321938710419,nan
femgo,seed_11,10,-418.1882761953942,75,0.24961404308443738,0.1767272631995649,nan
femgo,seed_11,11,-399.5251743190776,75,0.4984554014353254,0.3831004655476704,nan
femgo,seed_11,12,-411.3818967464053,75,0.3403657690709565,1.9127666298787585,nan
femgo,seed_11,13,-417.5816323334577,75,0.25770262791025744,0.00288925620643532,nan
femgo,seed_11,14,-411.2384200448428,75,0.342278791758456,1.6081667679169005,nan
femgo,seed_11,15,-417.18445561970503,75,0.2629983174269599,0.026592682980433935,nan
femgo,seed_11,16,-417.59704021731056,75,0.25749718945888617,0.013877665732145772,nan
femgo,seed_11,17,-415.9819426257194,75,0.27903182401343507,0.6881479190741491,nan
femgo,seed_11,18,-417.59343210322436,75,0.25754529764670225,0.019409157481762307,nan
femgo,seed_11,19,-414.5992863735166,75,0.29746724070947267,0.4765709359255972,nan
femgo,seed_11,20,-416.5544910648493,75,0.27139784482503654,0.5109107241343533,nan
femgo,seed_11,21,-411.51748599886844,75,0.33855791237144783,2.0798276562558318,nan
femgo,seed_11,22,-418.1306705238767,75,0.2503821187046712,0.028191593361663436,nan
femgo,seed_11,23,-416.97200099445786,75,0.2658310457635889,0.21323356330011123,nan
femgo,seed_11,24,-416.6405949598135,75,0.2702497928921806,0.2682593531536348,nan
femgo,seed_11,25,-412.1192760275689,75,0.33053404532210834,0.7730660689225175,nan
femgo,seed_11,26,-417.3747124144469,75,0.2604615601637352,0.3994348076226153,nan
femgo,seed_11,27,-414.9620794711971,75,0.2926299994070655,0.7460914946890025,nan
femgo,seed_11,28,-417.82986807166185,75,0.2543928180675357,0.3103720410082804,nan
femgo,seed_11,29,-416.23849132525504,75,0.27561117468629315,1.2216845448550924,nan
femgo,seed_11,30,-419.15485383436913,75,0.23672634123143857,0.42350741747470266,nan
femgo,seed_11,31,-416.41668734378464,75,0.2732352277725651,2.1009780848012944,nan
femgo,seed_11,32,-419.7023400057092,75,0.22942652561357135,0.8231776399701367,nan
femgo,seed_11,33,-422.4396162824279,75,0.19292950859065514,1.6629255794754307,nan
femgo,seed_11,34,-419.75787216123604,75,0.2286860968732132,0.8143278370088218,nan
femgo,seed_11,35,-422.7476846257287,75,0.18882193067997757,0.9027147483951303,nan
femgo,seed_11,36,-425.5716899454047,75,0.15116852641763065,2.0943604419565567,nan
femgo,seed_11,37,-424.2626872001638,75,0.1686218963541766,2.497192642079698,nan
femgo,seed_11,38,-424.3626012462697,75,0.1672897090727641,2.613541557403259,nan
femgo,seed_11,39,-425.2265744801315,75,0.15577006595460716,2.363517264558899,nan
femgo,seed_11,40,-424.5598326688836,75,0.16465995677124587,3.8656778186492513,nan
femgo,seed_11,41,-419.04379666652005,75,0.23820710346942633,3.47547537298324,nan
femgo,seed_11,42,-424.7713624786474,75,0.1618395593077283,2.5774569564194447,nan
femgo,seed_11,43,-423.05856819094043,75,0.18467681647715456,2.774234762027131,nan
femgo,seed_11,44,-427.0505374662867,75,0.1314505594725377,2.086519368285133,nan
femgo,seed_11,45,-420.5367751830991,75,0.2183007232483722,2.249402462914267,nan
femgo,seed_11,46,-428.680619754807,75,0.10971612895893335,2.337618945225209,nan
femgo,seed_11,47,-427.9186659192204,75,0.11987551343342147,2.353932786783737,nan
femgo,seed_11,48,-428.6707894726242,75,0.1098471993880374,2.344333393662424,nan
femgo,seed_11,49,-427.9240532568243,75,0.11980368226536939,2.6797789782868815,nan
femgo,seed_11,50,-428.61784078227464,75,0.11055318192603181,2.423680990516676,nan
femgo,seed_11,51,-428.3645606823714,75,0.11393024992474163,3.7979067980111534,nan
femgo,seed_11,52,-428.4599278242726,75,0.11265868803272573,2.005102902228588,nan
femgo,seed_11,53,-426.4830754687365,75,0.13901671943987368,3.211290632041928,nan
femgo,seed_11,54,-428.65237016639384,75,0.11009279013777587,2.371802174621708,nan
femgo,seed_11,55,-429.88453295476813,75,0.09366395295945192,2.36974211025022,nan
femgo,seed_11,56,-428.5870986620003,75,0.11096307686302301,3.0408199811260115,nan
femgo,seed_11,57,-429.05453674300344,75,0.10473056911631451,2.440318082929066,nan
femgo,seed_11,58,-428.29584469535155,75,0.11484646308500639,3.382208491648006,nan
femgo,seed_11,59,-428.8170584483244,75,0.10789694637870147,2.366633424203105,nan
femgo,seed_11,60,-428.55916498052,75,0.11133552594942708,1.9097215709619473,nan
femgo,seed_11,61,-430.30834357047985,75,0.08801314474996237,2.016415686131756,nan
femgo,seed_11,62,-429.34206857821016,75,0.10089681131355822,2.273531335879113,nan
femgo,seed_11,63,-429.772489225255,75,0.09515786935296015,3.111552317667181,nan
femgo,seed_11,64,-430.4943697209928,75,0.08553279607645664,2.3088583021756452,nan
femgo,seed_11,65,-430.5760728665999,75,0.08444342080169538,2.332452580984002,nan
