system,seed,E_total,rel_energy,Fe_n,Fe_contact,Fe_contact_frac,Fe_roughness,Fe_height_mean,Fe_spread,fe_coverage,B_n,B_contact,B_contact_frac,B_roughness,B_height_mean,B_spread
femgo,seed_13,-434.9824398261545,1.9268896005725082,25,8,0.32,0.9603713760779037,3.247941352161783,3.149372638108103,0.28,,,,,,
femgo,seed_13,-435.23433384677907,1.6749955799479608,25,7,0.28,0.9280358034577988,3.397727584548984,2.9745915280433604,0.2545454545454545,,,,,,
femgo,seed_13,-435.0728926285373,1.836436798189709,25,7,0.28,0.944752400381264,3.3386840792209584,2.850978512390853,0.26,,,,,,
femgo,seed_13,-435.0944572100849,1.8148722166421294,25,6,0.24,0.9164519905467345,3.36578957711442,3.022677382202966,0.23636363636363636,,,,,,
femgo,seed_13,-435.1649698226364,1.7443596040906186,25,7,0.28,0.9268373037802748,3.3877795648094327,3.0243278952858113,0.2545454545454545,,,,,,
femgo,seed_13,-434.3547877168627,2.5545417098643384,25,9,0.36,0.920853138134255,3.2618371698157707,2.7509305860339452,0.26,,,,,,
femgo,seed_13,-434.9643902166372,1.9449392100898422,25,8,0.32,0.914473549251334,3.263046941712446,2.736522002144943,0.21666666666666667,,,,,,
femgo,seed_13,-435.6783580333653,1.230971393361699,25,7,0.28,0.9349766790566539,3.3307611332189624,2.965200906542737,0.2545454545454545,,,,,,
femgo,seed_13,-435.3131264400144,1.5962029867126262,25,9,0.36,0.9885691850195609,3.2369840710366264,3.3096405372428936,0.23636363636363636,,,,,,
femgo,seed_13,-435.64127182825484,1.2680575984721827,25,8,0.32,0.9429113325801679,3.3454838558166715,2.955623391851624,0.2545454545454545,,,,,,
femgo,seed_13,-435.7477585976184,1.1615708291086548,25,8,0.32,0.9326361225625541,3.2710490029746833,2.944644751942958,0.2545454545454545,,,,,,
femgo,seed_13,-434.745860452409,2.16346897431805,25,8,0.32,0.9193030219450478,3.2369943173727522,2.9187317603438725,0.23333333333333334,,,,,,
femgo,seed_13,-435.5257177176057,1.3836117091213396,25,8,0.32,0.9117827755718845,3.206866951153751,2.640713709245924,0.2545454545454545,,,,,,
femgo,seed_13,-435.23637848949664,1.6729509372303824,25,11,0.44,0.9999993481251988,3.258147510851097,3.3753666254715338,0.2545454545454545,,,,,,
femgo,seed_13,-435.64633718321994,1.2629922435070853,25,8,0.32,0.9062886070529295,3.2565033253592754,2.6711610301809525,0.2545454545454545,,,,,,
femgo,seed_13,-435.280461206661,1.6288682200660105,25,11,0.44,0.9351886139723901,3.180036486697499,3.0790277342709906,0.2727272727272727,,,,,,
femgo,seed_14,-433.92176956682425,2.987559859902774,25,7,0.28,0.9744607243625597,3.2702436538256245,3.421293926132721,0.05555555555555555,,,,,,
femgo,seed_14,-434.01383061911605,2.895498807610977,25,6,0.24,1.0013281970936332,3.339813857856185,3.6192553035341977,0.051587301587301584,,,,,,
femgo,seed_14,-434.86949094697565,2.0398384797513813,25,10,0.4,0.9157078120937058,3.0702049391780264,2.868032007586308,0.05555555555555555,,,,,,
