system,file,seed,iteration,E_total,dE_per_atom,max_force,dZ,n_atoms,n_template,template_indices
femgo,femgo/femgo_000.xyz,seed_13,73,-432.484832,0.000000,0.9930,2.5501,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_001.xyz,seed_11,90,-431.487833,0.013293,0.9115,2.8805,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_002.xyz,seed_11,75,-430.641791,0.024574,0.9779,2.3580,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_003.xyz,seed_11,66,-430.483501,0.026684,0.9683,2.3228,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_004.xyz,seed_11,61,-430.308344,0.029020,0.9425,2.0164,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_005.xyz,seed_11,59,-428.817058,0.048904,0.9905,2.3666,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_006.xyz,seed_11,48,-428.670789,0.050854,0.9943,2.3443,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_007.xyz,seed_3,46,-422.174484,0.137471,0.9391,1.2726,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_008.xyz,seed_10,26,-421.185581,0.150657,0.9824,1.1207,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_009.xyz,seed_13,20,-420.519916,0.159532,0.9716,0.3218,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_010.xyz,seed_13,23,-420.286261,0.162648,0.9962,0.4798,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_011.xyz,seed_5,32,-419.636166,0.171316,0.9945,0.8496,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_012.xyz,seed_5,33,-419.407510,0.174364,0.9561,0.3353,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_013.xyz,seed_15,27,-419.003730,0.179748,0.9114,0.4995,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_014.xyz,seed_7,32,-418.938464,0.180618,0.9329,1.0909,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_015.xyz,seed_13,27,-418.341483,0.188578,0.9763,1.7245,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_016.xyz,seed_8,19,-418.245642,0.189856,0.9870,0.0256,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_017.xyz,seed_11,22,-418.130671,0.191389,0.9108,0.0282,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_018.xyz,seed_6,20,-418.114138,0.191609,0.8825,0.3265,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_019.xyz,seed_15,16,-418.110847,0.191653,0.9372,0.0260,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_020.xyz,seed_6,14,-418.067962,0.192225,0.9391,0.0257,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_021.xyz,seed_14,16,-417.992032,0.193237,0.9267,0.0178,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_022.xyz,seed_7,23,-417.914565,0.194270,0.9716,0.0091,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
femgo,femgo/femgo_023.xyz,seed_10,22,-417.836388,0.195313,0.9252,0.1953,75,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
